number,position,driver
1,1,max_verstappen
63,2,russell
44,3,hamilton
14,4,alonso
55,5,sainz
18,6,stroll
16,7,leclerc
23,8,albon
10,9,gasly
27,10,hulkenberg
31,11,ocon
22,12,tsunoda
4,13,norris
20,14,kevin_magnussen
21,15,de_vries
81,16,piastri
24,17,zhou
2,18,sargeant
77,19,bottas
11,20,perez
16,1,leclerc
1,2,max_verstappen
11,3,perez
55,4,sainz
44,5,hamilton
14,6,alonso
4,7,norris
22,8,tsunoda
18,9,stroll
81,10,piastri
63,11,russell
31,12,ocon
23,13,albon
77,14,bottas
2,15,sargeant
24,16,zhou
27,17,hulkenberg
20,18,kevin_magnussen
10,19,gasly
21,20,de_vries
1,1,max_verstappen
11,2,perez
16,3,leclerc
55,4,sainz
14,5,alonso
63,6,russell
44,7,hamilton
18,8,stroll
31,9,ocon
27,10,hulkenberg
4,11,norris
77,12,bottas
24,13,zhou
22,14,tsunoda
23,15,albon
2,16,sargeant
20,17,kevin_magnussen
81,18,piastri
21,19,de_vries
10,20,gasly
11,1,perez
14,2,alonso
55,3,sainz
20,4,kevin_magnussen
10,5,gasly
63,6,russell
16,7,leclerc
31,8,ocon
1,9,max_verstappen
77,10,bottas
23,11,albon
27,12,hulkenberg
44,13,hamilton
24,14,zhou
21,15,de_vries
4,16,norris
22,17,tsunoda
18,18,stroll
81,19,piastri
2,20,sargeant
1,1,max_verstappen
14,2,alonso
16,3,leclerc
31,4,ocon
55,5,sainz
44,6,hamilton
10,7,gasly
63,8,russell
22,9,tsunoda
4,10,norris
81,11,piastri
21,12,de_vries
23,13,albon
18,14,stroll
77,15,bottas
2,16,sargeant
20,17,kevin_magnussen
27,18,hulkenberg
24,19,zhou
11,20,perez
11,1,perez
16,2,leclerc
14,3,alonso
63,4,russell
55,5,sainz
18,6,stroll
31,7,ocon
44,8,hamilton
81,9,piastri
10,10,gasly
27,11,hulkenberg
24,12,zhou
20,13,kevin_magnussen
77,14,bottas
1,15,max_verstappen
22,16,tsunoda
23,17,albon
21,18,de_vries
4,19,norris
2,20,sargeant
1,1,max_verstappen
55,2,sainz
4,3,norris
10,4,gasly
44,5,hamilton
18,6,stroll
31,7,ocon
27,8,hulkenberg
14,9,alonso
81,10,piastri
11,11,perez
63,12,russell
24,13,zhou
21,14,de_vries
22,15,tsunoda
77,16,bottas
20,17,kevin_magnussen
23,18,albon
16,19,leclerc
2,20,sargeant
